Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR12798346,2020-11-16 21:51:20,2020-10-08 16:28:58,18092299,5463874298,18092299,302,2262,,https://sra-download.ncbi.nlm.nih.gov/traces/sra59/SRR/012498/SRR12798346,SRX9267336,T144806,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP286801,PRJNA667732,3,667732,SRS7496816,SAMN16380854,simple,74940,Oncorhynchus tshawytscha,DPCh_plate1_C02,,,,,not collected,,no,,,,,NOAA FISHERIES,SRA1139318,,public,71941EB1EA51D3091C84D2A4019668E3,062D5F36AE472E1431F59DB13CE90626
SRR12798317,2020-11-16 21:51:20,2020-10-08 16:28:31,12513693,3779135286,12513693,302,1515,,https://sra-download.ncbi.nlm.nih.gov/traces/sra77/SRR/012498/SRR12798317,SRX9267365,T145120,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP286801,PRJNA667732,3,667732,SRS7496846,SAMN16380870,simple,74940,Oncorhynchus tshawytscha,DPCh_plate1_C04,,,,,not collected,,no,,,,,NOAA FISHERIES,SRA1139318,,public,33F1BD594A8A737D0F376413F9406329,7545209304414205CA0968ACB173FD97
SRR12798308,2020-11-16 21:51:21,2020-10-08 16:32:43,18644314,5630582828,18644314,302,2362,,https://sra-download.ncbi.nlm.nih.gov/traces/sra62/SRR/012498/SRR12798308,SRX9267374,T144871,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP286801,PRJNA667732,3,667732,SRS7496854,SAMN16380878,simple,74940,Oncorhynchus tshawytscha,DPCh_plate1_C05,,,,,not collected,,no,,,,,NOAA FISHERIES,SRA1139318,,public,493E6228BF6C0FC6E2A229218D38BC86,C4EB4E7D4E2C47EC01AD6C8F99AFA54C
SRR12798299,2020-11-16 21:51:21,2020-10-08 16:30:13,13630083,4116285066,13630083,302,1668,,https://sra-download.ncbi.nlm.nih.gov/traces/sra67/SRR/012498/SRR12798299,SRX9267383,T144920,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP286801,PRJNA667732,3,667732,SRS7496864,SAMN16380886,simple,74940,Oncorhynchus tshawytscha,DPCh_plate1_C06,,,,,not collected,,no,,,,,NOAA FISHERIES,SRA1139318,,public,2A938A3101E8A363CD65E49D4727D353,59E0C25D1A9F670E1004701223BD03DE
SRR12798370,2020-11-16 21:51:20,2020-10-08 16:39:05,14675676,4432054152,14675676,302,1803,,https://sra-download.ncbi.nlm.nih.gov/traces/sra57/SRR/012498/SRR12798370,SRX9267312,T145145,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP286801,PRJNA667732,3,667732,SRS7496792,SAMN16380902,simple,74940,Oncorhynchus tshawytscha,DPCh_plate1_C08,,,,,not collected,,no,,,,,NOAA FISHERIES,SRA1139318,,public,FF1F4B698B4EF67C9F19BAFB2EA4799C,F9BDADEAEEC17ED20A75414FCA266A2E
SRR12798297,2020-11-16 21:51:21,2020-10-08 16:29:39,15778001,4764956302,15778001,302,2016,,https://sra-download.ncbi.nlm.nih.gov/traces/sra29/SRR/012498/SRR12798297,SRX9267385,T144961,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP286801,PRJNA667732,3,667732,SRS7496866,SAMN16380910,simple,74940,Oncorhynchus tshawytscha,DPCh_plate1_C09,,,,,not collected,,no,,,,,NOAA FISHERIES,SRA1139318,,public,17EE786014D83FE534DDB5D9FEB468D1,2024295DC4CA1A55DFAE6B8A6B65C3F0
SRR12798288,2020-11-16 21:51:21,2020-10-08 16:32:51,19985242,6035543084,19985242,302,2508,,https://sra-download.ncbi.nlm.nih.gov/traces/sra38/SRR/012498/SRR12798288,SRX9267394,T144989,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP286801,PRJNA667732,3,667732,SRS7496874,SAMN16380918,simple,74940,Oncorhynchus tshawytscha,DPCh_plate1_C10,,,,,not collected,,no,,,,,NOAA FISHERIES,SRA1139318,,public,D94D118BEDF036D1506155756948A725,571BF10B55384D5A9F75F14DBF3A7A09
SRR12798279,2020-11-16 21:51:21,2020-10-08 16:36:19,14187427,4284602954,14187427,302,1823,,https://sra-download.ncbi.nlm.nih.gov/traces/sra18/SRR/012498/SRR12798279,SRX9267403,T145153,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP286801,PRJNA667732,3,667732,SRS7496884,SAMN16380926,simple,74940,Oncorhynchus tshawytscha,DPCh_plate1_C11,,,,,not collected,,no,,,,,NOAA FISHERIES,SRA1139318,,public,15592F2536A0C0A56C1CBE9047D3994F,D3F2C99B4B3CC8607D15006BC24DAFAE
SRR12798358,2020-11-16 21:51:20,2020-10-08 16:39:33,14428264,4357335728,14428264,302,1868,,https://sra-download.ncbi.nlm.nih.gov/traces/sra73/SRR/012498/SRR12798358,SRX9267324,T145200,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP286801,PRJNA667732,3,667732,SRS7496804,SAMN16380934,simple,74940,Oncorhynchus tshawytscha,DPCh_plate1_C12,,,,,not collected,,no,,,,,NOAA FISHERIES,SRA1139318,,public,EF5A9126F1ADE3D1A02A118347107C1D,76FC2CBE1301709CC35EE716C9612EB6
SRR12798313,2020-11-16 21:51:21,2020-10-08 16:29:38,11621194,3509600588,11621194,302,1423,,https://sra-download.ncbi.nlm.nih.gov/traces/sra68/SRR/012498/SRR12798313,SRX9267369,T144777,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP286801,PRJNA667732,3,667732,SRS7496850,SAMN16380847,simple,74940,Oncorhynchus tshawytscha,DPCh_plate1_D01,,,,,not collected,,no,,,,,NOAA FISHERIES,SRA1139318,,public,B8C6D7EF1AA5FF94F10A6DF34A4348C0,9CF401D9036CE3E2E7FA8C7D97423F08
